Artist and Title,Artist,Streams,Daily,year,main_genre,genres,first_genre,second_genre,third_genre
Red Hot Chili Peppers - Sick Love,Red Hot Chili Peppers,134275935,58718,2016.0,Rock,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",alternative rock,funk metal,funk rock
Drake - U With Me?,Drake,134040784,27282,2016.0,Hip-Hop/Rap,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",canadian hip hop,canadian pop,hip hop
Rihanna - James Joint,Rihanna,134025902,71322,2016.0,Pop,"['barbadian pop', 'pop', 'urban contemporary']",barbadian pop,pop,urban contemporary
The Chainsmokers - Don't Let Me Down,The Chainsmokers,133805765,26067,2016.0,Pop,['pop'],pop,Unknown,Unknown
Gerardo Ortiz - Mañana Voy A Conquistarla,Gerardo Ortiz,133393511,130573,2016.0,World/Traditional,"['banda', 'corrido', 'musica mexicana', 'norteno', 'sierreno']",banda,corrido,musica mexicana
CNCO - Tan Fácil,CNCO,133168608,22212,2016.0,Pop,"['boy band', 'latin pop', 'reggaeton', 'urbano latino']",boy band,latin pop,reggaeton
Cole Swindell - You Should Be Here,Cole Swindell,133113324,34702,2016.0,World/Traditional,"['contemporary country', 'country', 'country road', 'modern country rock']",contemporary country,country,country road
Ghostemane - Venom,Ghostemane,133039958,51214,2016.0,Hip-Hop/Rap,"['cloud rap', 'dark trap', 'florida rap']",cloud rap,dark trap,florida rap
Maty Noyes - in my miNd,Maty Noyes,132369048,4051,2016.0,Hip-Hop/Rap,['alt z'],alt z,Unknown,Unknown
The PropheC - Kina Chir,The PropheC,132346935,77641,2016.0,Hip-Hop/Rap,"['desi hip hop', 'desi pop', 'punjabi pop']",desi hip hop,desi pop,punjabi pop
Coldplay - Everglow,Coldplay,132283755,19597,2016.0,Rock,"['permanent wave', 'pop']",permanent wave,pop,Unknown
Taburete - Sirenas,Taburete,132269771,52204,2016.0,Pop,"['spanish pop', 'spanish rock']",spanish pop,spanish rock,Unknown
A Boogie Wit da Hoodie - Timeless,A Boogie Wit da Hoodie,132117549,26702,2016.0,Hip-Hop/Rap,"['melodic rap', 'rap', 'trap']",melodic rap,rap,trap
The Chainsmokers - Inside Out,The Chainsmokers,131963597,9237,2016.0,Pop,['pop'],pop,Unknown,Unknown
Two Feet - Quick Musical Doodles,Two Feet,131958670,44842,2016.0,Pop,"['indie poptimism', 'modern rock']",indie poptimism,modern rock,Unknown
Dharius - La Durango,Dharius,131953791,73449,2016.0,Hip-Hop/Rap,['mexican hip hop'],mexican hip hop,Unknown,Unknown
EDEN - drugs,EDEN,131732610,18156,2016.0,World/Traditional,"['banda', 'corrido', 'musica mexicana', 'norteno', 'sierreno']",banda,corrido,musica mexicana
